,Unnamed: 0,x,1.000000000000000000e+00,1.294000000000000000e+03,0.000000000000000000e+00,1.000000000000000000e+00.1,1.294000000000000000e+03.1,0.000000000000000000e+00.1,1.000000000000000000e+00.2,1.294000000000000000e+03.2,0.000000000000000000e+00.2,1.000000000000000000e+00.3,1.294000000000000000e+03.3,0.000000000000000000e+00.3,1.000000000000000000e+00.4,1.294000000000000000e+03.4,0.000000000000000000e+00.4,1.000000000000000000e+00.5,1.294000000000000000e+03.5,0.000000000000000000e+00.5,1.000000000000000000e+00.6,1.294000000000000000e+03.6,0.000000000000000000e+00.6,1.000000000000000000e+00.7,1.294000000000000000e+03.7,0.000000000000000000e+00.7,1.000000000000000000e+00.8,1.294000000000000000e+03.8,0.000000000000000000e+00.8,1.000000000000000000e+00.9,1.294000000000000000e+03.9,0.000000000000000000e+00.9,1.000000000000000000e+00.10,1.294000000000000000e+03.10,0.000000000000000000e+00.10,1.294000000000000000e+03.11,0.000000000000000000e+00.11,0.000000000000000000e+00.12,0.000000000000000000e+00.13,1.000000000000000000e+00.11,1.294000000000000000e+03.12,0.000000000000000000e+00.14,1.294000000000000000e+03.13,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,1.000000000000000000e+00.12,1.294000000000000000e+03.14,0.000000000000000000e+00.18,1.294000000000000000e+03.15,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,1.000000000000000000e+00.13,1.294000000000000000e+03.16,0.000000000000000000e+00.22,1.294000000000000000e+03.17,0.000000000000000000e+00.23,0.000000000000000000e+00.24,0.000000000000000000e+00.25,1.000000000000000000e+00.14,1.294000000000000000e+03.18,0.000000000000000000e+00.26,1.294000000000000000e+03.19,0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,1.000000000000000000e+00.15,1.502277984256966114e+09,0.000000000000000000e+00.30,1.000000000000000000e+00.16,1.502277984256966114e+09.1,0.000000000000000000e+00.31,1.000000000000000000e+00.17,1.502277984256966114e+09.2,0.000000000000000000e+00.32,1.000000000000000000e+00.18,1.502277984256966114e+09.3,0.000000000000000000e+00.33,1.000000000000000000e+00.19,1.502277984256966114e+09.4,0.000000000000000000e+00.34,1.000000000000000000e+00.20,1.294000000000000000e+03.20,0.000000000000000000e+00.35,1.294000000000000000e+03.21,0.000000000000000000e+00.36,0.000000000000000000e+00.37,0.000000000000000000e+00.38,1.000000000000000000e+00.21,1.294000000000000000e+03.22,0.000000000000000000e+00.39,1.294000000000000000e+03.23,0.000000000000000000e+00.40,0.000000000000000000e+00.41,0.000000000000000000e+00.42,1.000000000000000000e+00.22,1.294000000000000000e+03.24,0.000000000000000000e+00.43,1.294000000000000000e+03.25,0.000000000000000000e+00.44,0.000000000000000000e+00.45,0.000000000000000000e+00.46,1.000000000000000000e+00.23,1.294000000000000000e+03.26,0.000000000000000000e+00.47,1.294000000000000000e+03.27,0.000000000000000000e+00.48,0.000000000000000000e+00.49,0.000000000000000000e+00.50,1.000000000000000000e+00.24,1.294000000000000000e+03.28,0.000000000000000000e+00.51,1.294000000000000000e+03.29,0.000000000000000000e+00.52,0.000000000000000000e+00.53,0.000000000000000000e+00.54
1569224,1569225,1,209.0477283528172,1340.750375948738,186664.70223881165,315.1720899705341,1336.6187463894837,188282.50228753663,866.3611968109847,1338.219995658642,184082.3448162882,8441.03522409183,1339.589503829272,181904.9017805688,84268.53948225721,1339.2205985328708,182863.45226069933,209.0477283528172,1340.750375948738,186664.70223881165,315.1720899705341,1336.6187463894837,188282.50228753663,866.3611968109847,1338.219995658642,184082.3448162882,8441.03522409183,1339.589503829272,181904.9017805688,84268.53948225721,1339.2205985328708,182863.45226069933,209.0477283528172,1340.750375948738,432.0471065043853,1344.0415062812167,186664.70223881165,5.358017208647004e-19,0.0,315.1720899705341,1336.6187463894837,433.9153169542839,1339.9200249269663,188282.50228753663,-4.536632709032684e-09,-1.3350042591478444e-08,866.361196809953,1338.2199956601662,429.0481847235309,1341.518708769995,184082.34485281777,0.0341141579835683,4.104212716354064e-05,8440.907048201221,1339.6089344987067,426.47719794801907,1343.4742362198715,181887.70146606088,12.123125462937644,0.0007779265630321292,84265.07682875857,1339.2694179385835,427.5654727010508,1343.0245705622647,182815.4572978412,-6.485702957463414,-0.0004603635081815041,209.0477283528172,0.0014934820554698218,6.750150691092826e-05,315.1720899705341,0.001600936532401964,7.256139274893588e-05,866.361196809953,0.0016920573047368485,7.554515800796489e-05,8440.907048201221,0.0017118222542030455,7.367773589618067e-05,84265.07682875861,3.859104783054255,5794876262.130009,66.96516806999013,1336.952840551164,437.9992105604528,1336.952840551164,191843.30845157988,0.0,0.0,102.11456166080596,1333.7554055166406,438.0773983523688,1333.7554055166406,191911.80694718007,0.0,0.0,285.40243584319967,1337.967403477434,429.5181518300732,1337.967403477434,184485.84275152185,0.0,0.0,2806.8130988897583,1340.9939423655835,424.7050704127152,1340.9939423655835,180374.39683426937,0.0,0.0,28050.816738927155,1340.7688202957124,425.63903512501054,1340.7688202957124,181168.58822215,0.0,0.0
2236695,2236696,1,161.34590272648683,1320.2771201316707,200109.78413671957,274.3732729655238,1324.1205869916112,197382.9746955156,842.5600895405594,1329.805078883335,192710.09043074097,8432.3340590526,1337.701483939198,185044.11991222997,84270.0677922782,1339.2154648556188,183457.1631354368,161.34590272648683,1320.2771201316707,200109.78413671957,274.3732729655238,1324.1205869916112,197382.9746955156,842.5600895405594,1329.805078883335,192710.09043074097,8432.3340590526,1337.701483939198,185044.11991222997,84270.0677922782,1339.2154648556188,183457.1631354368,161.34590272648683,1320.2771201316707,447.33632105689736,1323.6191616938638,200109.78413672067,1.2792482563313846e-05,1.9558023705122082e-07,274.3732729655238,1324.1205869916112,444.27803760203534,1327.454251598752,197382.9747456828,0.016362884139815365,1.7458829082681938e-05,842.5600895057225,1329.8050789358383,438.987574279768,1333.3706942828076,192711.18687801505,13.645954404914956,0.001219172100094131,8432.15124615943,1337.7291850913186,430.1310697716037,1341.869347091919,185022.3952060557,62.33776038689908,0.003333247639761065,84266.73419321245,1339.2636678261204,428.2582656881488,1343.0283023487868,183408.47980094483,25.05791730908745,0.001759004626325087,161.34590272648683,0.0019348838064375473,8.64795774471899e-05,274.3732729655238,0.0018354494325823353,7.931773007742706e-05,842.5600895057225,0.0017384450891851117,7.34520438354315e-05,8432.151246159432,0.0017135829473013569,7.3264508022648e-05,84266.73419321238,0.11103504988621923,164233142.87706646,53.63653580890484,1319.7788279941851,447.9288667229656,1319.7788279941851,200640.26964372024,0.0,0.0,91.22529416200992,1323.8186863996884,444.6130025726304,1323.8186863996884,197680.72205664983,0.0,0.0,280.47898501047314,1330.1607640547777,438.5378969829759,1330.1607640547777,192315.4870902512,0.0,0.0,2807.3610086903345,1339.1486140521251,428.32948266269295,1339.1486140521251,183466.14571809024,0.0,0.0,28056.017416787836,1340.7201328291603,426.3902207204284,1340.7201328291603,181808.62032601563,0.0,0.0
2102408,2102409,1,135.76752136919535,1333.895423000148,179796.6043199862,247.4388418817648,1339.74020095637,177359.4956146956,810.5891291231985,1341.3462451341063,179331.6396278725,8413.799002625781,1337.2930765826056,185879.63703617433,84288.4302993822,1338.651506928427,183931.78524267767,135.76752136919535,1333.895423000148,179796.6043199862,247.4388418817648,1339.74020095637,177359.4956146956,810.5891291231985,1341.3462451341063,179331.6396278725,8413.799002625781,1337.2930765826056,185879.63703617433,84288.4302993822,1338.651506928427,183931.78524267767,135.76752136919535,1333.895423000148,424.0242968510015,1337.203424876239,179796.6043199862,-6.051454381356266e-24,-1.0581663251581499e-20,247.4388418817648,1339.74020095637,421.1407076200252,1343.033806744497,177359.4956146956,-1.3334108020607876e-13,-3.13709484061794e-11,810.5891291231893,1341.34624513412,423.4756659217361,1344.63598248322,179331.63962794797,-0.0023247438838127446,-1.2946276461806789e-05,8413.718651952788,1337.3052745849502,431.12159734869743,1341.0481171416243,185868.81873163208,12.377005754766513,0.0008843977203193985,84284.4599830645,1338.7067931854795,428.806089732831,1342.44207205651,183877.5947547428,24.450636346712052,0.00176947066047913,135.76752136919535,0.002311834575786492,0.00010961513087942289,247.4388418817648,0.002041238557653501,9.357782652865245e-05,810.5891291231893,0.0018083383469528072,8.011711275252458e-05,8413.718651952788,0.0017173749731500642,7.451548271411738e-05,84284.45998306443,0.22674008167613063,338054821.9112926,48.665463633759295,1337.8142587446023,421.55907558893057,1337.8142587446023,177712.05421139367,0.0,0.0,85.83099855431274,1341.7658380942075,419.7436627000837,1341.7658380942075,176184.74237688165,0.0,0.0,273.53167328147794,1342.7088607011046,422.0378421367552,1342.7088607011046,178115.94019544867,0.0,0.0,2805.0374475969347,1338.8269722123557,429.2226826640314,1338.8269722123557,184232.1113133079,0.0,0.0,28064.343609875606,1340.227354774282,426.86256721276857,1340.227354774282,182211.65128747537,0.0,0.0
1430115,1430116,1,161.8559535130011,1338.8402296579686,177163.6336028881,278.8662444529714,1341.1462244660559,177211.75854711048,847.3277025916472,1343.116603919308,177210.87875651263,8436.519189345545,1339.368192902435,183278.2837194444,84199.98307634241,1339.9573703370395,182347.739273686,161.8559535130011,1338.8402296579686,177163.6336028881,278.8662444529714,1341.1462244660559,177211.75854711048,847.3277025916472,1343.116603919308,177210.87875651263,8436.519189345545,1339.368192902435,183278.2837194444,84199.98307634241,1339.9573703370395,182347.739273686,161.8559535130011,1338.8402296579686,420.90810588878907,1342.1360439801183,177163.6336028881,-4.18705166425339e-21,0.0,278.8662444529714,1341.1462244660559,420.9652700011136,1344.4363857764176,177211.75854711048,-5.404047391777926e-18,-9.518265106984862e-15,847.327702591647,1343.1166039193083,420.96422503166696,1346.4019528433748,177210.8787565121,-6.0237906888538725e-05,-1.7091799086493332e-06,8436.470349974676,1339.3755897109345,428.1003281005586,1343.019131401603,183271.82667791937,-11.923916602961855,-0.0009596872930842951,84195.55110078161,1340.016892255443,426.9531032300592,1343.7394976582102,182291.79699458784,-15.826149731194532,-0.0011615554746333345,161.8559535130011,0.0019225290663525815,8.222553534647229e-05,278.8662444529714,0.0018032701606866103,7.542852515150576e-05,847.3277025916472,0.001728026040699506,7.118108231111762e-05,8436.47034997468,0.0017127133842296876,7.345163975863169e-05,84195.55110078158,8.087320527687668,12146830122.890429,53.140995705317614,1341.1285469910597,422.7106740037464,1341.1285469910597,178684.3139167016,0.0,0.0,92.00810509401823,1342.9687088813635,421.3570176619157,1342.9687088813635,177541.73633294387,0.0,0.0,281.21810635131226,1344.7949225127336,419.68544706284166,1344.7949225127336,176135.8744763373,0.0,0.0,2808.3054860452594,1340.790012844464,426.37873089067347,1340.790012844464,181798.82215594128,0.0,0.0,28030.969375064946,1341.5090692101971,425.0389414498201,1341.5090692101971,180658.1017487836,0.0,0.0
1379363,1379364,1,154.7635077994298,1332.4000253603267,191379.47452426425,268.41489044018465,1334.5449141385352,189374.72286442225,832.1370042244064,1338.547821647447,184246.4282323804,8404.404356656622,1341.1206237269535,181233.2381649504,84143.70136999755,1340.346749265358,181807.16183907373,154.7635077994298,1332.4000253603267,191379.47452426425,268.41489044018465,1334.5449141385352,189374.72286442225,832.1370042244064,1338.547821647447,184246.4282323804,8404.404356656622,1341.1206237269535,181233.2381649504,84143.70136999755,1340.346749265358,181807.16183907373,154.76350775379663,1332.4000257355035,437.4693979049495,1335.7117310931915,191379.47410331896,-5.999478029970252e-21,0.0,268.4148510336102,1334.5451012572755,435.1718191423557,1337.8514967251756,189374.51217566707,-2.862031588829539e-14,0.0,832.1029746726725,1338.600108937078,429.1702559718868,1341.8965130166955,184187.10861097483,5.2046562464755456e-11,1.2375749783567523e-09,8403.67625791249,1341.2314777113606,425.56674316640994,1344.6069058548262,181107.18051640183,0.3141878162389205,5.034942595095351e-05,84137.8945364267,1340.4248159922452,426.2980015354319,1344.0937741809705,181732.21893419637,-14.746715968495486,-0.0011525339389173877,154.76350775379663,0.0020224970211001813,9.320903216593555e-05,268.4148510336102,0.0018802739972523077,8.509340322198525e-05,832.1029746726725,0.0017612153695168871,7.704471742075203e-05,8403.67625791249,0.0017193875059449983,7.345263632464935e-05,84137.8945364267,10.6028444895271,15925844941.822006,60.10232563310468,1343.8356533982862,427.0579339423388,1343.8356533982862,182378.47894309903,0.0,0.0,97.89220244036797,1341.4345563994939,428.902153053854,1341.4345563994939,183957.0568942316,0.0,0.0,285.8164846746578,1341.6593323404811,426.1291487557502,1341.6593323404811,181586.05141930023,0.0,0.0,2806.7309917840626,1342.8734146460108,423.5245476373572,1342.8734146460108,179373.042451428,0.0,0.0,28021.226915494608,1341.9291405579643,424.3624434102827,1341.9291405579643,180083.48337714537,0.0,0.0
1357518,1357519,1,173.67713600056135,1289.342164012056,146010.51391706683,294.2878053411004,1294.433273033217,141649.4796997914,882.9924544952025,1296.048201155704,140973.97837901695,8732.98318970468,1296.639185057382,141323.73160092952,87132.0269983113,1297.9781125652983,139633.0359984995,173.67713600056135,1289.342164012056,146010.51391706683,294.2878053411004,1294.433273033217,141649.4796997914,882.9924544952025,1296.048201155704,140973.97837901695,8732.98318970468,1296.639185057382,141323.73160092952,87132.0269983113,1297.9781125652983,139633.0359984995,173.67713600056135,1289.3421640120555,382.1132213324565,1290.737470172252,146010.51391706683,0.000627314689218545,4.8792038831843336e-05,294.28780534110024,1294.433273033218,376.3634941114647,1295.8231495495206,141649.47969986725,0.07968022730102589,0.0005512828225960809,882.9924544952028,1296.0482011557044,375.46501618528305,1297.4407401166147,140973.9788536332,5.41141777020512,0.004237534261507369,8732.983077811266,1296.6392007894156,375.9304644000289,1298.0383489819424,141323.71620918266,-14.234225146451871,-0.007630448419174525,87130.1361488362,1298.0001177022637,373.6488382079676,1299.395205649011,139613.4549534151,-13.7768439619639,-0.010009999801903195,173.67713600056135,0.0017856925951520695,7.305675280333658e-05,294.2878053411004,0.0017083994306783055,7.12501270174869e-05,882.9924544952025,0.0016592097604043396,7.130235071184214e-05,8732.983077811314,0.0016545320115982788,7.020768391085433e-05,87130.13614883125,11.503981155340105,17279691305.75984,50.679732753824815,1310.6547815973988,456.7041073773742,1310.6547815973988,208578.64169536412,0.0,0.0,89.44656594324712,1324.2979086202472,440.6404010973016,1324.2979086202472,194163.9630791908,0.0,0.0,279.33274502556685,1332.2964678789197,430.4084149746794,1332.2964678789197,185251.40368101583,0.0,0.0,2815.0539551873826,1334.4992513969985,428.4524569901113,1334.4992513969985,183571.5079008632,0.0,0.0,28127.974587401004,1336.5343187311307,425.69464246796355,1336.5343187311307,181215.92862592728,0.0,0.0
1596462,1596463,1,156.54708434636055,1319.4522465653126,204268.0709442231,261.94669970150204,1326.318993616363,195516.94103385485,814.6119005605462,1335.239031053118,186720.4113127978,8405.381977279414,1337.914454478891,184258.69533888483,84246.2207238927,1338.9570736595679,183148.6408858958,156.54708434636055,1319.4522465653126,204268.0709442231,261.94669970150204,1326.318993616363,195516.94103385485,814.6119005605462,1335.239031053118,186720.4113127978,8405.381977279414,1337.914454478891,184258.69533888483,84246.2207238927,1338.9570736595679,183148.6408858958,156.5470843456483,1319.4522465710427,451.9602537147903,1322.7963679196323,204268.0709379376,-1.9844911749287137e-29,-3.2556210181914165e-26,261.94669645358425,1326.319009317648,442.1729566303992,1329.6458605498487,195516.9235752688,8.128010969337058e-15,1.3629408832095125e-11,814.5970912436419,1335.2622148075675,432.0812892390583,1338.5668389345858,186694.2405104868,2.6836768754550644e-08,3.879843594882504e-08,8404.695860252521,1338.0187769753943,429.1158482070565,1341.4720160394115,184140.81538777924,3.91813204891942,0.00046484601614346914,84242.26845279627,1339.013836543672,427.8876592749592,1342.7113355444487,183090.34623114832,-1.4898006274266091,-0.0001125923382182978,156.5470843456483,0.002003311371658737,9.46636818832432e-05,261.94669645358425,0.001928726797276264,8.916114125764979e-05,814.5970912436419,0.0017996254782429743,8.02790832578449e-05,8404.69586025252,0.001719184836879444,7.361504277752513e-05,84242.26845279634,3.3373951824140367,5011122647.171081,72.42513328109177,1354.734565790731,419.2334353900206,1354.734565790731,175756.67334891856,0.0,0.0,107.65720958626765,1348.875844657792,421.7847616923983,1348.875844657792,177902.38519591323,0.0,0.0,291.8889806984937,1343.4287380083836,424.60558063668856,1343.4287380083836,180289.89910781945,0.0,0.0,2818.9713748117724,1340.109892261158,426.7409086857068,1340.109892261158,182107.80314590267,0.0,0.0,28067.553160618263,1340.5769699813768,425.91002351508155,1340.5769699813768,181399.3481306173,0.0,0.0
1544112,1544113,1,168.48997341377756,1342.8299331293017,172386.30918998783,277.6365750759277,1340.3756024668955,177502.5910873462,837.6320679555997,1340.765030444208,180011.18452203527,8424.238295863874,1339.0559285985946,183057.4223389733,84255.78633895742,1339.1174112548604,183092.04917620076,168.48997341377756,1342.8299331293017,172386.30918998783,277.6365750759277,1340.3756024668955,177502.5910873462,837.6320679555997,1340.765030444208,180011.18452203527,8424.238295863874,1339.0559285985946,183057.4223389733,84255.78633895742,1339.1174112548604,183092.04917620076,168.48997341377756,1342.8299331293017,415.1943029353701,1346.1159791444588,172386.30918998783,1.4644049689291412e-15,2.6151386753609203e-12,277.6365750756327,1340.375602468255,421.3105637006928,1343.6676507574844,177502.59108579555,-5.427562492303048e-15,-6.754176441647816e-12,837.6314021747456,1340.766048444288,424.27588168754016,1344.057140400255,180010.02378173964,-7.127556408373718e-14,-4.403847184725775e-11,8423.749859190084,1339.1300924382997,427.75363403772826,1342.4756968341735,182973.2158721875,-1.1134572870683668,-0.00023050624546495216,84251.82803421393,1339.1732226972604,427.824159506976,1342.8335230617067,183035.59618289876,-13.151976746826772,-0.0010400944051874807,168.48997341377756,0.00184812067204258,7.9940584900745e-05,277.6365750756327,0.0018128957935970248,7.740742268177958e-05,837.6314021747456,0.0017483603574713494,7.29424391257395e-05,8423.749859190084,0.001715266029520253,7.258453713482499e-05,84251.82803421398,4.411953439543482,6625408298.621721,51.24564392788434,1337.3504313149474,425.1272013851466,1337.3504313149474,180733.13735756697,0.0,0.0,87.47680989998972,1337.9485200174504,426.1413576813407,1337.9485200174504,181596.45672649637,0.0,0.0,273.76188858574426,1341.1949001191665,424.2948208067104,1341.1949001191665,180026.09496339853,0.0,0.0,2799.669490806752,1340.5054083752318,426.04306128413293,1340.5054083752318,181512.69006835553,0.0,0.0,28045.19262958633,1340.6679863244772,425.90902773029234,1340.6679863244772,181398.49990216293,0.0,0.0
1730904,1730905,1,217.22637189102403,1354.513557019756,172289.80014112545,333.73016165302687,1349.2443372703376,177133.8511152777,896.5983535979085,1344.2562804215306,180180.31919634552,8473.881788341478,1340.8136613873191,181433.03481684555,84328.8211563978,1339.1764168710367,182992.36985225184,217.22637189102403,1354.513557019756,172289.80014112545,333.73016165302687,1349.2443372703376,177133.8511152777,896.5983535979085,1344.2562804215306,180180.31919634552,8473.881788341478,1340.8136613873191,181433.03481684555,84328.8211563978,1339.1764168710367,182992.36985225184,217.22637189102403,1354.513557019756,415.07806511682287,1357.7713268994569,172289.80014112545,-2.5862198524837353e-16,-4.619772326243262e-13,333.73016165302676,1349.244337270338,420.87272555402893,1352.5147990525184,177133.85111527704,-3.7066685094932945e-19,0.0,896.5982973106077,1344.2563610455059,424.476415088028,1347.53893947655,180180.2269659863,-0.00011806709439449476,-1.6125108343288228e-06,8473.476854578128,1340.8748694020355,425.86770880225953,1344.550788634884,181365.6671360394,-26.15788743114136,-0.0020189454134940644,84325.28127549138,1339.22853263388,427.70896056983753,1342.9581915996027,182937.84994740263,-26.403380056023785,-0.0019242729106967252,217.22637189102403,0.001426378857690336,5.8112447147035424e-05,333.73016165302676,0.0015060291892899328,6.266860783119712e-05,896.5982973106077,0.0016338671521978192,6.977713047937487e-05,8473.476854578126,0.0017052299224241758,7.304333883020951e-05,84325.28127549138,1.6310440064744356,2447711137.6587205,70.74141121850528,1348.759844921224,421.95236436710815,1348.759844921224,178043.7977949928,0.0,0.0,109.14415455235698,1345.33751585967,425.3964357359438,1345.33751585967,180962.12753684487,0.0,0.0,295.97937237423537,1343.4376569281812,425.2600229290271,1343.4376569281812,180846.08710159664,0.0,0.0,2818.2727290987073,1342.089100517955,424.25978534884246,1342.089100517955,179996.3654642459,0.0,0.0,28072.03501088753,1340.6848546252625,425.8337466658991,1340.6848546252625,181334.37979951713,0.0,0.0
2045035,2045036,1,227.45498352489224,1360.5107844298377,170934.56346579525,337.5453024500158,1354.336746117562,176035.90513075562,895.1537932054848,1344.915875544544,182622.65499591967,8480.01088383619,1339.2824191605744,184193.98103545883,84329.89479083562,1339.2016647068367,183220.83890116587,227.45498352489224,1360.5107844298377,170934.56346579525,337.5453024500158,1354.336746117562,176035.90513075562,895.1537932054848,1344.915875544544,182622.65499591967,8480.01088383619,1339.2824191605744,184193.98103545883,84329.89479083562,1339.2016647068367,183220.83890116587,227.45498352489224,1360.5107844298377,413.4423339061873,1363.7542280594007,170934.56346579525,-2.981037305548198e-37,0.0,337.5453024500158,1354.336746117562,419.5663298344561,1357.5949402838485,176035.90513075562,-4.6376943780475177e-14,-8.195706778590954e-11,895.1537932054848,1344.915875544544,427.3437199678031,1348.1968373755928,182622.6549959201,-6.08403313653138e-07,-3.3373634553340724e-07,8479.978823130723,1339.2872537524477,429.1718707464484,1342.762251548184,184189.0357947456,2.168801798395147,0.00023915802917114087,84325.54573215364,1339.2609088517663,427.973342311904,1342.9588446886487,183163.69112885208,13.428646288335676,0.0010133430055908157,227.45498352489224,0.0013566082424379179,5.2120612810808435e-05,337.5453024500158,0.0014874497397078172,6.043270513824416e-05,895.1537932054848,0.0016362047134807927,6.900935195569187e-05,8479.978823130723,0.0017039228428680575,7.300083502163497e-05,84325.54573215349,0.30790958769117754,459995249.2571359,77.67764811663997,1367.463311694166,404.6669949439523,1367.463311694166,163755.37679696875,0.0,0.0,114.6705094981858,1360.1386622645737,412.4632025778853,1360.1386622645737,170125.89348080568,0.0,0.0,300.79981486751217,1347.9169644236,423.81965603447543,1347.9169644236,179623.10084118112,0.0,0.0,2826.69226344896,1340.9172381856208,427.13431672100313,1340.9172381856208,182443.7245207182,0.0,0.0,28077.76320921128,1340.7902834373467,426.0140614306409,1340.7902834373467,181487.9805366299,0.0,0.0
