,Unnamed: 0,x,1.000000000000000000e+00,1.294000000000000000e+03,0.000000000000000000e+00,1.000000000000000000e+00.1,1.294000000000000000e+03.1,0.000000000000000000e+00.1,1.000000000000000000e+00.2,1.294000000000000000e+03.2,0.000000000000000000e+00.2,1.000000000000000000e+00.3,1.294000000000000000e+03.3,0.000000000000000000e+00.3,1.000000000000000000e+00.4,1.294000000000000000e+03.4,0.000000000000000000e+00.4,1.000000000000000000e+00.5,1.294000000000000000e+03.5,0.000000000000000000e+00.5,1.000000000000000000e+00.6,1.294000000000000000e+03.6,0.000000000000000000e+00.6,1.000000000000000000e+00.7,1.294000000000000000e+03.7,0.000000000000000000e+00.7,1.000000000000000000e+00.8,1.294000000000000000e+03.8,0.000000000000000000e+00.8,1.000000000000000000e+00.9,1.294000000000000000e+03.9,0.000000000000000000e+00.9,1.000000000000000000e+00.10,1.294000000000000000e+03.10,0.000000000000000000e+00.10,1.294000000000000000e+03.11,0.000000000000000000e+00.11,0.000000000000000000e+00.12,0.000000000000000000e+00.13,1.000000000000000000e+00.11,1.294000000000000000e+03.12,0.000000000000000000e+00.14,1.294000000000000000e+03.13,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,1.000000000000000000e+00.12,1.294000000000000000e+03.14,0.000000000000000000e+00.18,1.294000000000000000e+03.15,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,1.000000000000000000e+00.13,1.294000000000000000e+03.16,0.000000000000000000e+00.22,1.294000000000000000e+03.17,0.000000000000000000e+00.23,0.000000000000000000e+00.24,0.000000000000000000e+00.25,1.000000000000000000e+00.14,1.294000000000000000e+03.18,0.000000000000000000e+00.26,1.294000000000000000e+03.19,0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,1.000000000000000000e+00.15,1.502108232597436905e+09,0.000000000000000000e+00.30,1.000000000000000000e+00.16,1.502108232597436905e+09.1,0.000000000000000000e+00.31,1.000000000000000000e+00.17,1.502108232597436905e+09.2,0.000000000000000000e+00.32,1.000000000000000000e+00.18,1.502108232597436905e+09.3,0.000000000000000000e+00.33,1.000000000000000000e+00.19,1.502108232597436905e+09.4,0.000000000000000000e+00.34,1.000000000000000000e+00.20,1.294000000000000000e+03.20,0.000000000000000000e+00.35,1.294000000000000000e+03.21,0.000000000000000000e+00.36,0.000000000000000000e+00.37,0.000000000000000000e+00.38,1.000000000000000000e+00.21,1.294000000000000000e+03.22,0.000000000000000000e+00.39,1.294000000000000000e+03.23,0.000000000000000000e+00.40,0.000000000000000000e+00.41,0.000000000000000000e+00.42,1.000000000000000000e+00.22,1.294000000000000000e+03.24,0.000000000000000000e+00.43,1.294000000000000000e+03.25,0.000000000000000000e+00.44,0.000000000000000000e+00.45,0.000000000000000000e+00.46,1.000000000000000000e+00.23,1.294000000000000000e+03.26,0.000000000000000000e+00.47,1.294000000000000000e+03.27,0.000000000000000000e+00.48,0.000000000000000000e+00.49,0.000000000000000000e+00.50,1.000000000000000000e+00.24,1.294000000000000000e+03.28,0.000000000000000000e+00.51,1.294000000000000000e+03.29,0.000000000000000000e+00.52,0.000000000000000000e+00.53,0.000000000000000000e+00.54
1343090,1343091,1,1666.5805031735783,60.00000000000033,3.1377567211166024e-11,2599.26236146307,59.999999999999915,2.2737367544323206e-12,5071.7203486453,60.0000000000002,2.546585164964199e-11,7549.302524996778,60.00000000000033,2.000888343900442e-11,7884.515236574384,60.00000000000018,2.228262019343674e-11,1666.5805031735783,60.00000000000033,3.1377567211166024e-11,2599.26236146307,59.999999999999915,2.2737367544323206e-12,5071.7203486453,60.0000000000002,2.546585164964199e-11,7549.302524996778,60.00000000000033,2.000888343900442e-11,7884.515236574384,60.00000000000018,2.228262019343674e-11,1666.5805067075903,60.00000000000006,9.5367431640625e-07,84.85281374238573,1.639614891002561e-12,4.223721026747381e-27,3.791834928130015e-15,2599.262363916152,60.0000000000002,3.7546195383128215e-06,84.85281374238578,2.4476224354289822e-11,1.169774360775385e-27,6.965057968241149e-17,5071.720349814065,59.999999999999766,5.840038639982171e-06,84.85281374238537,3.6248812436278303e-11,7.346934113709184e-26,3.59023977178996e-15,7549.302525155314,59.99999999999953,8.259061849445712e-06,84.85281374238545,6.823635151487067e-11,-6.114540494943973e-26,-5.4893133498564875e-15,7884.515236590918,60.000000000000554,6.607249479556569e-06,84.8528137423863,4.783501196273304e-11,5.62389545779731e-26,1.9248514428051415e-15,1666.5805031735783,2683.8345930220685,4031409691607.4497,2599.26236146307,17627.060403890257,26477488318427.33,5071.7203486453,92538.55202422074,138994602594402.77,7549.302524996778,177122.10497602285,266025669292665.88,7884.515236574384,188310.59559590803,282827934195903.2,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0
1439288,1439289,1,72.15344630571246,1235.8195097273488,45848.60686811828,115.0158907748856,1232.572655110156,49760.485169756925,320.47266949348045,1232.2359195864933,50638.46981941396,3068.8672636518636,1239.370710843378,42533.32139485679,30588.2230286094,1239.2810670031647,42177.21974406927,72.15344630571246,1235.8195097273488,45848.60686811828,115.0158907748856,1232.572655110156,49760.485169756925,320.47266949348045,1232.2359195864933,50638.46981941396,3068.8672636518636,1239.370710843378,42533.32139485679,30588.2230286094,1239.2810670031647,42177.21974406927,72.15344630571246,1235.8195097273488,214.12287796524336,1237.2751757886135,45848.60686811851,6.315249605590421e-13,1.2130276025215844e-09,115.01589077488566,1232.572655110156,223.07058338058775,1234.0321511716375,49760.48516975576,2.1967751545549568e-12,5.163131932399549e-09,320.47266949348057,1232.2359195864926,225.02993094122823,1233.6958140154195,50638.46981941396,-1.2337781020119616e-13,-2.5710568638970423e-10,3068.8672636518218,1239.3707108433896,206.23608169969327,1240.822210832982,42533.32139484258,5.076800031141686e-12,4.922196813171101e-09,30587.744418046965,1239.295070339501,205.3420139219079,1240.7466588179027,42165.34268150502,1.3425406799844395e-11,8.0794779859236e-09,72.15344630571246,0.004430568621849356,0.00024886405402705264,115.0158907748856,0.004451216359640508,0.0002519927679553104,320.47266949348045,0.0045986300468175015,0.0002625989887539964,3068.867263651824,0.004711282322042829,0.0002730169860629488,30587.744418037284,0.005162675347446159,668547.6571861145,72.15344630571246,1235.8195097273488,214.12287796524336,1237.2751757886135,45848.60686811851,6.315249605590421e-13,1.2130276025215844e-09,115.01589077488566,1232.572655110156,223.07058338058775,1234.0321511716375,49760.48516975576,2.1967751545549568e-12,5.163131932399549e-09,320.47266949348057,1232.2359195864926,225.02993094122823,1233.6958140154195,50638.46981941396,-1.2337781020119616e-13,-2.5710568638970423e-10,3068.8672636518218,1239.3707108433896,206.23608169969327,1240.822210832982,42533.32139484258,5.076800031141686e-12,4.922196813171101e-09,30587.744418046965,1239.295070339501,205.3420139219079,1240.7466588179027,42165.34268150502,1.3425406799844395e-11,8.0794779859236e-09
1379548,1379549,1,761.4227370341083,60.0,2.7284841053187847e-12,1331.38829389632,59.99999999999988,1.2278178473934531e-11,4999.52945850406,60.00000000000004,1.9099388737231493e-11,20307.24739705535,59.99999999999996,2.4556356947869062e-11,24556.26206487598,60.000000000000405,2.7284841053187847e-11,761.4227370341083,60.0,2.7284841053187847e-12,1331.38829389632,59.99999999999988,1.2278178473934531e-11,4999.52945850406,60.00000000000004,1.9099388737231493e-11,20307.24739705535,59.99999999999996,2.4556356947869062e-11,24556.26206487598,60.000000000000405,2.7284841053187847e-11,761.4227370341086,60.00000000000004,2.3360154559928683e-06,84.85281374238569,8.735411353108494e-12,1.902500085714277e-27,3.1183025846208967e-16,1331.3882938964823,60.000000000000085,2.78041453115716e-06,84.85281374238573,1.6477925721113422e-11,3.295218952537054e-27,3.106809676808752e-16,4999.529458549995,59.999999999999886,2.6973983046972182e-06,84.8528137423853,3.4428909622415995e-11,3.919338953156752e-26,2.5047638972112298e-15,20307.247397148763,60.00000000000024,4.672030911985737e-06,84.85281374238588,4.9215766058331385e-11,-7.143961541520543e-26,-2.3023028140646688e-15,24556.262064889495,60.000000000000895,7.806160709259463e-06,84.85281374238609,6.154564826235444e-11,1.6321345519065694e-25,7.113061789987905e-15,761.4227370341083,0.0031186283139884407,4109866.4767559846,1331.38829389632,5.46582676571432,8209732207.282592,4999.52945850406,5083.733774112779,7636305567027.175,20307.24739705535,49191.71081421457,73888984080921.77,24556.26206487598,58725.109406635114,88208177067775.89,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0
1418363,1418364,1,752.5196924389104,59.99999999999995,1.2278178473934531e-11,1222.3003733054295,60.00000000000002,0.0,3442.841967539689,60.00000000000015,2.3192114895209673e-11,24562.985584612117,60.00000000000045,2.0918378140777346e-11,39927.59749734617,59.99999999999981,4.547473508864641e-12,752.5196924389104,59.99999999999995,1.2278178473934531e-11,1222.3003733054295,60.00000000000002,0.0,3442.841967539689,60.00000000000015,2.3192114895209673e-11,24562.985584612117,60.00000000000045,2.0918378140777346e-11,39927.59749734617,59.99999999999981,4.547473508864641e-12,752.5196927032003,60.000000000000014,2.86102294921875e-06,84.85281374238569,8.957483989248525e-12,-1.7988737690502824e-28,-3.2964710432867084e-17,1222.3003737714769,59.99999999999996,1.5078914929239175e-06,84.85281374238566,1.6077746776921857e-11,-2.0673454910132677e-27,-3.4365594324656902e-16,3442.841968900548,59.999999999999886,4.76837158203125e-06,84.85281374238537,3.9862437917347277e-11,1.5441007843234022e-26,5.65918922273874e-16,24562.985585762744,59.99999999999987,3.989505894346597e-06,84.85281374238579,3.722545259871879e-11,1.7591311532005566e-26,7.601129995623702e-16,39927.597497512405,60.0000000000003,5.436780095573128e-06,84.85281374238657,5.1597294517270174e-11,1.6837482496623634e-25,4.762213116758776e-15,752.5196924389104,0.00038625285045640025,1.9388633604218854e-06,1222.3003733054295,0.0003953567993206825,148.07818456030938,3442.841967539689,18.81696615048024,28264538857.05341,24562.985584612117,22381.868934758564,33619547444699.375,39927.59749734617,34023.29485589213,51105603440948.555,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0
1446284,1446285,1,797.5555759628586,60.00000000000002,2.2737367544323206e-12,1302.5835609308665,59.9999999999999,1.000444171950221e-11,3467.659645712434,59.99999999999981,2.4101609596982598e-11,26411.480441828426,60.0000000000005,4.0927261579781764e-11,50471.91591684673,59.99999999999918,8.685674401931463e-11,797.5555759628586,60.00000000000002,2.2737367544323206e-12,1302.5835609308665,59.9999999999999,1.000444171950221e-11,3467.659645712434,59.99999999999981,2.4101609596982598e-11,26411.480441828426,60.0000000000005,4.0927261579781764e-11,50471.91591684673,59.99999999999918,8.685674401931463e-11,797.5555759628611,59.99999999999995,0.0,84.85281374238554,2.5011104298755527e-11,6.719103457650574e-27,0.0,1302.583560930861,59.99999999999984,3.7546195383128215e-06,84.8528137423855,1.7828184158054372e-11,1.4716257797555397e-26,1.1864262352024131e-15,3467.6596457324044,60.00000000000019,5.0011103065974794e-06,84.85281374238603,3.8720341685635514e-11,4.0344171248185736e-26,1.4837905395550636e-15,26411.4804425818,60.000000000000135,6.7771293657073475e-06,84.85281374238586,6.994392709729519e-11,4.560044051513191e-27,9.26422680506228e-17,50471.91591700683,60.000000000000085,4.955437109667427e-06,84.85281374238606,2.457319367041472e-11,1.0257939223362916e-25,2.1705913405888976e-14,797.5555759628586,0.00036451685301693335,1.4591933545532588e-06,1302.5835609308665,0.0003709067827206956,0.0004458569511348706,3467.659645712434,0.2756509403103042,413432274.6470042,26411.480441828426,13652.523933180768,20507417791872.16,50471.91591684673,25803.735247011344,38759405182933.31,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0
1358024,1358025,1,736.7069900089682,59.99999999999982,1.6825651982799172e-11,1379.3634795086905,60.00000000000004,1.1368683772161601e-11,5047.642038104238,60.000000000000085,1.8189894035458565e-11,13213.157666723318,59.999999999999766,3.183231456205249e-11,14763.463838622689,60.00000000000018,2.364686224609613e-11,736.7069900089682,59.99999999999982,1.6825651982799172e-11,1379.3634795086905,60.00000000000004,1.1368683772161601e-11,5047.642038104238,60.000000000000085,1.8189894035458565e-11,13213.157666723318,59.999999999999766,3.183231456205249e-11,14763.463838622689,60.00000000000018,2.364686224609613e-11,736.706990108907,60.00000000000011,3.989505894346597e-06,84.85281374238586,1.6825651982799172e-11,8.972645667794288e-27,9.627769732657532e-16,1379.3634798259284,59.999999999999964,3.015782985847835e-06,84.85281374238564,9.275062463698822e-12,1.8768834916361622e-27,4.614473360828256e-16,5047.6420388384,59.99999999999974,1.9073486328125e-06,84.85281374238522,4.290077928115626e-12,5.092014080610488e-26,1.770473466309166e-14,13213.157666940067,59.99999999999909,8.766544490265958e-06,84.85281374238502,7.839216520679589e-11,-3.135695437323144e-25,-9.09663743700321e-15,14763.463838647403,60.00000000000044,5.478441854990033e-06,84.85281374238637,5.410729140308451e-11,1.6052819504140645e-25,4.367084343423985e-15,736.7069900089682,14.316161490900855,21503865658.884197,1379.3634795086905,880.7808243821866,1323029160266.1265,5047.642038104238,27726.491523563534,41647495570220.04,13213.157666723318,89665.11792629249,134678909456601.95,14763.463838622689,99358.8472606846,149238133460592.44,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0
1397881,1397882,1,600.5804182427033,59.999999999999964,1.2278178473934531e-11,1015.4833021681736,59.999999999999936,2.7284841053187847e-12,2963.7801233933446,60.00000000000012,3.637978807091713e-12,21744.787794805423,59.99999999999947,7.639755494892597e-11,31691.37956558319,60.000000000000256,2.000888343900442e-11,600.5804182427033,59.999999999999964,1.2278178473934531e-11,1015.4833021681736,59.999999999999936,2.7284841053187847e-12,2963.7801233933446,60.00000000000012,3.637978807091713e-12,21744.787794805423,59.99999999999947,7.639755494892597e-11,31691.37956558319,60.000000000000256,2.000888343900442e-11,600.5804186113658,59.999999999999936,2.6973983046972182e-06,84.85281374238566,8.348051665364355e-12,-1.0639382981528791e-26,-1.949687550092166e-15,1015.4833027496956,60.000000000000014,1.5078914929239175e-06,84.85281374238579,1.8782772192992872e-11,3.6416920389804966e-27,5.593145387056666e-16,2963.780123904808,59.99999999999992,4.317944115704259e-06,84.85281374238541,4.1284448066620836e-11,-8.249205106233462e-27,-3.147802575356294e-16,21744.787794951204,60.000000000000085,6.641573084442196e-06,84.85281374238576,5.6888875420540007e-11,-2.8506869512262274e-26,-7.161103278558896e-16,31691.37956560464,60.00000000000124,1.0381479767359373e-05,84.85281374238676,1.0837307750236755e-10,1.5662000375330429e-25,4.474380101445556e-15,600.5804182427033,0.0004839569236392261,0.6189606252008053,1015.4833021681736,0.0009771238765838872,753058.2298793821,2963.7801233933446,353.3640773264628,530791170065.39,21744.787794805423,33395.150308819786,50162103032122.24,31691.37956558319,44075.22207981766,66203927737648.086,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0
1429557,1429558,1,381.81449284667974,60.00000000000006,4.092726157978177e-12,729.6554257726762,60.00000000000006,6.821210263296962e-12,2718.7002842283086,60.000000000000256,2.0918378140777346e-11,25008.040625090904,60.00000000000046,2.5011104298755527e-11,44125.25715386151,59.99999999999952,5.32054400537163e-11,381.81449284667974,60.00000000000006,4.092726157978177e-12,729.6554257726762,60.00000000000006,6.821210263296962e-12,2718.7002842283086,60.000000000000256,2.0918378140777346e-11,25008.040625090904,60.00000000000046,2.5011104298755527e-11,44125.25715386151,59.99999999999952,5.32054400537163e-11,381.8144928467104,59.999999999999886,3.438521647895802e-06,84.85281374238564,1.19625350980331e-11,6.571890186563256e-28,1.4171096339856748e-16,729.6554257746928,59.999999999999886,3.3717478808715222e-06,84.8528137423856,1.3258049636636543e-11,7.903675406403652e-28,8.975182421084048e-17,2718.700284450065,60.00000000000015,2.78041453115716e-06,84.85281374238599,3.719210641173474e-11,2.583013339939956e-26,1.5402351033287501e-15,25008.040626049984,60.00000000000005,5.046370145920927e-06,84.85281374238589,5.85759778481756e-11,7.658590896678081e-27,2.0895640378458384e-16,44125.25715402522,59.999999999999744,5.642013342952361e-06,84.85281374238626,9.421614483972307e-11,1.643580153766105e-25,3.0935303777614205e-15,381.81449284667974,0.0007698037304947487,7.871454650320818e-06,729.6554257726762,0.0006651931183970571,1.0739691718280244,2718.7002842283086,3.8841971434226727,5833695876.405037,25008.040625090904,18336.331407737605,27542866174256.715,44125.25715386151,30233.17517281593,45412666919010.75,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0
1357444,1357445,1,758.1712299867218,59.99999999999985,1.6370904631912708e-11,1436.8901869924487,60.00000000000002,8.640199666842818e-12,5172.423431341995,60.00000000000015,2.4101609596982598e-11,13040.706871087876,59.9999999999997,3.410605131648481e-11,14499.89297924445,60.00000000000012,1.9099388737231493e-11,758.1712299867218,59.99999999999985,1.6370904631912708e-11,1436.8901869924487,60.00000000000002,8.640199666842818e-12,5172.423431341995,60.00000000000015,2.4101609596982598e-11,13040.706871087876,59.9999999999997,3.410605131648481e-11,14499.89297924445,60.00000000000012,1.9099388737231493e-11,758.1712301343624,60.00000000000004,3.3036247397782844e-06,84.85281374238586,1.543463690584498e-11,9.062252955742595e-27,8.303377082238675e-16,1436.890187393377,59.99999999999992,3.234066955149301e-06,84.8528137423856,1.3006092236605663e-11,2.1972716203814888e-27,2.443572280929216e-16,5172.42343213576,59.99999999999966,0.0,84.85281374238512,2.4101609596982598e-11,4.306645456807628e-26,0.0,13040.706871306338,59.999999999999034,9.147322699189604e-06,84.85281374238497,8.517382677350588e-11,-3.238102268014861e-25,-8.873142360173502e-15,14499.892979269209,60.000000000000256,3.504023183989303e-06,84.8528137423862,4.578743564031129e-11,1.5859521285112766e-25,6.814784816933566e-15,758.1712299867218,20.54986851164313,30867600744.055336,1436.8901869924487,1068.5584128988733,1605091574870.5183,5172.423431341995,29253.72438555675,43941481666583.67,13040.706871087876,91562.61452057952,137528815871700.36,14499.89297924445,101243.91481890313,152069335814017.9,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374238569,0.0,0.0,0.0
1459162,1459163,1,63.95505752192984,1259.5069077974135,25661.33467601961,102.2585195927902,1252.7046556446753,30899.935551366532,303.8497486935703,1240.4267142961075,41622.744528734125,3054.5819264936017,1238.8924643911168,42829.63617019239,30573.91894842043,1239.225327275284,42221.744466830976,63.95505752192984,1259.5069077974135,25661.33467601961,102.2585195927902,1252.7046556446753,30899.935551366532,303.8497486935703,1240.4267142961075,41622.744528734125,3054.5819264936017,1238.8924643911168,42829.63617019239,30573.91894842043,1239.225327275284,42221.744466830976,63.95505752192983,1259.5069077974142,160.1915561945087,1260.9352286257229,25661.334676018447,1.2122961294029768e-12,3.740785056210974e-09,102.25851959279028,1252.7046556446749,175.78377499464355,1254.1407234731848,30899.935551367467,-2.0818884367539227e-13,-1.7562792785540636e-09,303.8497486935702,1240.4267142961075,204.01653003796997,1241.8769800344303,41622.744528733885,-6.417884455087396e-14,-1.5549634801827264e-10,3054.581926493568,1238.8924643911287,206.95322217876395,1240.3445240436722,42829.63617017283,1.5894797533685097e-12,5.093457850788934e-09,30573.45285463512,1239.238969916792,205.45114946114668,1240.6906240318056,42210.17481490644,1.3012199365665024e-11,9.254190429921823e-09,63.95505752192984,0.0050103280958861615,0.00028487629884805285,102.2585195927902,0.005012890395762365,0.00028684253588550767,303.8497486935703,0.004851002596425664,0.00027803910161015226,3054.5819264935726,0.004733295507063357,0.0002736083481241691,30573.452854625662,0.005153443299562776,651367.9238667126,63.95505752192983,1259.5069077974142,160.1915561945087,1260.9352286257229,25661.334676018447,1.2122961294029768e-12,3.740785056210974e-09,102.25851959279028,1252.7046556446749,175.78377499464355,1254.1407234731848,30899.935551367467,-2.0818884367539227e-13,-1.7562792785540636e-09,303.8497486935702,1240.4267142961075,204.01653003796997,1241.8769800344303,41622.744528733885,-6.417884455087396e-14,-1.5549634801827264e-10,3054.581926493568,1238.8924643911287,206.95322217876395,1240.3445240436722,42829.63617017283,1.5894797533685097e-12,5.093457850788934e-09,30573.45285463512,1239.238969916792,205.45114946114668,1240.6906240318056,42210.17481490644,1.3012199365665024e-11,9.254190429921823e-09
