,Unnamed: 0,x,1.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00,1.000000000000000000e+00.1,1.450000000000000000e+03.1,0.000000000000000000e+00.1,1.000000000000000000e+00.2,1.450000000000000000e+03.2,0.000000000000000000e+00.2,1.000000000000000000e+00.3,1.450000000000000000e+03.3,0.000000000000000000e+00.3,1.000000000000000000e+00.4,1.450000000000000000e+03.4,0.000000000000000000e+00.4,1.000000000000000000e+00.5,1.450000000000000000e+03.5,0.000000000000000000e+00.5,1.000000000000000000e+00.6,1.450000000000000000e+03.6,0.000000000000000000e+00.6,1.000000000000000000e+00.7,1.450000000000000000e+03.7,0.000000000000000000e+00.7,1.000000000000000000e+00.8,1.450000000000000000e+03.8,0.000000000000000000e+00.8,1.000000000000000000e+00.9,1.450000000000000000e+03.9,0.000000000000000000e+00.9,1.000000000000000000e+00.10,1.450000000000000000e+03.10,0.000000000000000000e+00.10,1.450000000000000000e+03.11,0.000000000000000000e+00.11,0.000000000000000000e+00.12,0.000000000000000000e+00.13,1.000000000000000000e+00.11,1.450000000000000000e+03.12,0.000000000000000000e+00.14,1.450000000000000000e+03.13,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,1.000000000000000000e+00.12,1.450000000000000000e+03.14,0.000000000000000000e+00.18,1.450000000000000000e+03.15,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,1.000000000000000000e+00.13,1.450000000000000000e+03.16,0.000000000000000000e+00.22,1.450000000000000000e+03.17,0.000000000000000000e+00.23,0.000000000000000000e+00.24,0.000000000000000000e+00.25,1.000000000000000000e+00.14,1.450000000000000000e+03.18,0.000000000000000000e+00.26,1.450000000000000000e+03.19,0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,1.000000000000000000e+00.15,1.488011312825814962e+09,0.000000000000000000e+00.30,1.000000000000000000e+00.16,1.488011312825814962e+09.1,0.000000000000000000e+00.31,1.000000000000000000e+00.17,1.488011312825814962e+09.2,0.000000000000000000e+00.32,1.000000000000000000e+00.18,1.488011312825814962e+09.3,0.000000000000000000e+00.33,1.000000000000000000e+00.19,1.488011312825814962e+09.4,0.000000000000000000e+00.34,1.000000000000000000e+00.20,1.450000000000000000e+03.20,0.000000000000000000e+00.35,1.450000000000000000e+03.21,0.000000000000000000e+00.36,0.000000000000000000e+00.37,0.000000000000000000e+00.38,1.000000000000000000e+00.21,1.450000000000000000e+03.22,0.000000000000000000e+00.39,1.450000000000000000e+03.23,0.000000000000000000e+00.40,0.000000000000000000e+00.41,0.000000000000000000e+00.42,1.000000000000000000e+00.22,1.450000000000000000e+03.24,0.000000000000000000e+00.43,1.450000000000000000e+03.25,0.000000000000000000e+00.44,0.000000000000000000e+00.45,0.000000000000000000e+00.46,1.000000000000000000e+00.23,1.450000000000000000e+03.26,0.000000000000000000e+00.47,1.450000000000000000e+03.27,0.000000000000000000e+00.48,0.000000000000000000e+00.49,0.000000000000000000e+00.50,1.000000000000000000e+00.24,1.450000000000000000e+03.28,0.000000000000000000e+00.51,1.450000000000000000e+03.29,0.000000000000000000e+00.52,0.000000000000000000e+00.53,0.000000000000000000e+00.54
2709864,2709865,1,265.11517810735654,243.73511176355896,217165.24555445983,307.28405757835225,357.8612405891165,319095.7536509557,492.7727613307369,719.718253675497,471789.03578772256,2915.6320304222795,1284.093485428179,186464.20365367364,27125.959578090806,1388.8348145279947,61737.38714794256,265.11517810735654,243.73511176355896,217165.24555445983,307.28405757835225,357.8612405891165,319095.7536509557,492.7727613307369,719.718253675497,471789.03578772256,2915.6320304222795,1284.093485428179,186464.20365367364,27125.959578090806,1388.8348145279947,61737.38714794256,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1488014391.9012587,0.0,1.0,1488014391.9012587,0.0,1.0,1488014391.9012587,0.0,1.0,1488014391.9012587,0.0,1.0,1488014391.9012587,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0
2688263,2688264,1,43.71926278880999,1416.1123496749997,19444.455181748373,77.93806177154886,1409.7169458914627,28803.765000524927,252.80534574806663,1401.0064906756686,42541.02709937957,2670.7311351441253,1400.2184266655015,45755.129414251074,26879.43681496633,1401.3443908714871,45128.420216457685,43.71926278880999,1416.1123496749997,19444.455181748373,77.93806177154886,1409.7169458914627,28803.765000524927,252.80534574806663,1401.0064906756686,42541.02709937957,2670.7311351441253,1400.2184266655015,45755.129414251074,26879.43681496633,1401.3443908714871,45128.420216457685,43.71926278971429,1416.1123496757411,139.44337625493003,1417.3828653204991,19444.45518137398,-5.95051746100146e-13,-1.907987006968473e-09,77.93806182628131,1409.716945921156,169.71671980554368,1410.993220259145,28803.764981553424,5.3103461812479607e-14,1.7537355085166715e-10,252.80534787910133,1401.0064911060224,206.25476179243097,1402.2906931593068,42541.02676205244,2.807915668372141e-13,6.729359541941024e-10,2670.3503359715173,1400.379962802058,213.48616342418777,1401.6647388792703,45576.34197357902,-3.304500791098739e-11,-3.6755195341500986e-08,26871.80850989533,1401.6763172691587,211.53600034828943,1402.959906195908,44747.47944335151,-9.953619688808336e-11,-5.8555472986804576e-08,43.71926278880999,0.007190941084678426,0.0003124984449614288,77.93806177154886,0.006496123169844612,0.0002838390112626944,252.80534574797528,0.005809609676331798,0.00026711906602219126,2670.350330775564,0.0054124510736242555,0.00025408666832188996,26871.808504624365,0.0054045970027937935,51842.34129956248,43.71926278971429,1416.1123496757411,139.44337625493003,1417.3828653204991,19444.45518137398,-5.95051746100146e-13,-1.907987006968473e-09,77.93806182628131,1409.716945921156,169.71671980554368,1410.993220259145,28803.764981553424,5.3103461812479607e-14,1.7537355085166715e-10,252.80534787910133,1401.0064911060224,206.25476179243097,1402.2906931593068,42541.02676205244,2.807915668372141e-13,6.729359541941024e-10,2670.3503359715173,1400.379962802058,213.48616342418777,1401.6647388792703,45576.34197357902,-3.304500791098739e-11,-3.6755195341500986e-08,26871.80850989533,1401.6763172691587,211.53600034828943,1402.959906195908,44747.47944335151,-9.953619688808336e-11,-5.8555472986804576e-08
2683765,2683766,1,77.15066557920278,1417.1179276167106,23635.533547180472,109.91179830022676,1412.9592283813884,26883.803389637495,285.2852116065236,1408.8067924345933,31460.12329692696,2705.364454741036,1401.220586860726,44541.54449853604,26913.70479808052,1401.472083322465,44989.65113268722,77.15066557920278,1417.1179276167106,23635.533547180472,109.91179830022676,1412.9592283813884,26883.803389637495,285.2852116065236,1408.8067924345933,31460.12329692696,2705.364454741036,1401.220586860726,44541.54449853604,26913.70479808052,1401.472083322465,44989.65113268722,77.15066557920686,1417.1179276167122,153.73852330232123,1418.387542518858,23635.533547178376,5.449397712869089e-13,0.0,109.91179830239955,1412.9592283821587,163.96281099426085,1414.2325767250256,26883.803389139703,-2.1312505897422546e-12,-5.811760778768903e-09,285.2852122567014,1408.806792543171,177.37001780527405,1410.0838906660047,31460.123216243228,-5.837044220584502e-13,-1.5432194381098395e-09,2704.8440315135686,1401.4387282659416,210.47478970001288,1402.7225346032124,44299.637099264655,-2.8255182630293676e-11,-2.709044042654033e-08,26905.8344505126,1401.8141458443451,211.17999174493823,1403.0976086820583,44596.988913392175,-9.533742264951315e-11,-4.9898707564956846e-08,77.15066557920278,0.004028013667100951,0.0001602370217855742,109.91179830022676,0.004594371974917825,0.00019780687956434228,285.285211604442,0.00514886383850126,0.0002421259401788862,2704.844027079478,0.005343395115369852,0.0002502520023174569,26905.83444532716,0.005398865227779936,53419.63080141965,77.15066557920686,1417.1179276167122,153.73852330232123,1418.387542518858,23635.533547178376,5.449397712869089e-13,0.0,109.91179830239955,1412.9592283821587,163.96281099426085,1414.2325767250256,26883.803389139703,-2.1312505897422546e-12,-5.811760778768903e-09,285.2852122567014,1408.806792543171,177.37001780527405,1410.0838906660047,31460.123216243228,-5.837044220584502e-13,-1.5432194381098395e-09,2704.8440315135686,1401.4387282659416,210.47478970001288,1402.7225346032124,44299.637099264655,-2.8255182630293676e-11,-2.709044042654033e-08,26905.8344505126,1401.8141458443451,211.17999174493823,1403.0976086820583,44596.988913392175,-9.533742264951315e-11,-4.9898707564956846e-08
2697479,2697480,1,74.53373239527645,1430.2902356686511,19013.226842073724,106.581638587754,1422.775287687918,26603.01559000532,279.55941008866046,1414.4548618814706,33418.935765044065,2699.676621114684,1403.3298036425363,43899.47960568685,26910.586805197232,1401.601042843119,45033.9915685996,74.53373239527645,1430.2902356686511,19013.226842073724,106.581638587754,1422.775287687918,26603.01559000532,279.55941008866046,1414.4548618814706,33418.935765044065,2699.676621114684,1403.3298036425363,43899.47960568685,26910.586805197232,1401.601042843119,45033.9915685996,74.53373239527643,1430.2902356686516,137.88845797264523,1431.548168330038,19013.22684207396,2.0012386637678242e-13,0.0,106.581638587754,1422.7752876879179,163.10430892531937,1424.0398587312918,26603.015590006016,-6.885683419626211e-15,-2.7997001844201722e-11,279.5594100915895,1414.454861881865,182.80846743164025,1415.72686500654,33418.935764705064,-4.587620780045265e-13,-2.6314257291476835e-09,2699.47960047808,1403.4127056115951,209.30200979541496,1404.6947078536523,43807.3313044,-1.4271164459560721e-11,-2.8043308349365162e-08,26903.444973274494,1401.9115042943095,211.37073074550017,1403.1948780809932,44677.585815886734,-9.883795214924142e-11,-8.47142361938186e-08,74.53373239527645,0.0041676033569739085,0.0001640310559344357,106.581638587754,0.004725406589837902,0.00019051144142685065,279.55941008866046,0.005243934356712815,0.00021597545038596033,2699.47959778977,0.005353751232894942,0.0002431084829853104,26903.444968339634,0.0053960204811667415,48479.1705242834,74.53373239527643,1430.2902356686516,137.88845797264523,1431.548168330038,19013.22684207396,2.0012386637678242e-13,0.0,106.581638587754,1422.7752876879179,163.10430892531937,1424.0398587312918,26603.015590006016,-6.885683419626211e-15,-2.7997001844201722e-11,279.5594100915895,1414.454861881865,182.80846743164025,1415.72686500654,33418.935764705064,-4.587620780045265e-13,-2.6314257291476835e-09,2699.47960047808,1403.4127056115951,209.30200979541496,1404.6947078536523,43807.3313044,-1.4271164459560721e-11,-2.8043308349365162e-08,26903.444973274494,1401.9115042943095,211.37073074550017,1403.1948780809932,44677.585815886734,-9.883795214924142e-11,-8.47142361938186e-08
2697535,2697536,1,80.95277184884829,1432.6608146930332,16982.9389741926,113.39430084520704,1425.069863067702,24576.075696716085,286.6870925250927,1415.6292660187887,32416.31232245406,2706.891374098901,1403.4915660287857,43761.42022163095,26917.809650782743,1401.617893181114,45019.78390347608,80.95277184884829,1432.6608146930332,16982.9389741926,113.39430084520704,1425.069863067702,24576.075696716085,286.6870925250927,1415.6292660187887,32416.31232245406,2706.891374098901,1403.4915660287857,43761.42022163095,26917.809650782743,1401.617893181114,45019.78390347608,80.95277184884827,1432.6608146930334,130.31860563324256,1433.9166677170979,16982.9389741926,1.7057867410936898e-13,0.0,113.39430084520708,1425.0698630677018,156.7675849680564,1426.3323997665475,24576.075696716784,-6.84821402018604e-14,-2.8970164775231117e-10,286.6870925280024,1415.6292660191584,180.04530630409863,1416.9002148386955,32416.312322136717,-4.0849108109499454e-13,-2.3790342144593527e-09,2706.6944835107047,1403.5742042081351,208.9725854154976,1404.8560590745587,43669.541455237435,-1.4211979329643139e-11,-2.7971031753440488e-08,26910.668290414604,1401.928255277003,211.33736806944003,1403.2116137432806,44663.483142517965,-9.877391380415127e-11,-8.467271348992002e-08,80.95277184884829,0.0038297462452415655,0.0001477806633591183,113.39430084520704,0.0044382049569523215,0.00017704332065358137,286.6870925250927,0.005113107338101167,0.00020995659258717624,2706.6944808241687,0.005339475131589768,0.00024238344539421076,26910.66828548007,0.005394569885993091,48462.9577445878,80.95277184884827,1432.6608146930334,130.31860563324256,1433.9166677170979,16982.9389741926,1.7057867410936898e-13,0.0,113.39430084520708,1425.0698630677018,156.7675849680564,1426.3323997665475,24576.075696716784,-6.84821402018604e-14,-2.8970164775231117e-10,286.6870925280024,1415.6292660191584,180.04530630409863,1416.9002148386955,32416.312322136717,-4.0849108109499454e-13,-2.3790342144593527e-09,2706.6944835107047,1403.5742042081351,208.9725854154976,1404.8560590745587,43669.541455237435,-1.4211979329643139e-11,-2.7971031753440488e-08,26910.668290414604,1401.928255277003,211.33736806944003,1403.2116137432806,44663.483142517965,-9.877391380415127e-11,-8.467271348992002e-08
2713045,2713046,1,48.40225178986572,67.8186495718599,10822.417389764432,77.38339829866545,68.53434268227521,11802.84774930155,176.4302321551961,167.14283675173397,135975.3370462263,2397.744672600936,1172.4615541324315,293676.0937937263,26575.665576237807,1377.4000957143685,76273.67004515068,48.40225178986572,67.8186495718599,10822.417389764432,77.38339829866545,68.53434268227521,11802.84774930155,176.4302321551961,167.14283675173397,135975.3370462263,2397.744672600936,1172.4615541324315,293676.0937937263,26575.665576237807,1377.4000957143685,76273.67004515068,1.0000003706575522,60.0,6.743495761743047e-07,60.0,4.547473508864641e-13,0.0,0.0,1.000138478934084,60.0,0.0,60.0,0.0,0.0,0.0,1.051736205222138,60.0,0.0,60.0,0.0,0.0,0.0,1.7436686213264003,60.0,0.0,60.0,0.0,0.0,0.0,1.970818280965604,59.99999999999999,9.5367431640625e-07,59.99999999999999,9.094947017729282e-13,0.0,0.0,1.0000003706575522,555.8162479788336,820704457426.6658,1.000138478934084,206034.38814512023,306533327675916.56,1.051736205222138,73197273.0813383,1.0356074895794768e+17,1.7436686213264003,634632981.3146404,5.415839851233495e+17,1.970818280965604,732990754.2350537,5.5342534237819526e+17,1.0000003706575522,60.0,6.743495761743047e-07,60.0,4.547473508864641e-13,0.0,0.0,1.000138478934084,60.0,0.0,60.0,0.0,0.0,0.0,1.051736205222138,60.0,0.0,60.0,0.0,0.0,0.0,1.7436686213264003,60.0,0.0,60.0,0.0,0.0,0.0,1.970818280965604,59.99999999999999,9.5367431640625e-07,59.99999999999999,9.094947017729282e-13,0.0,0.0
2698370,2698371,1,58.589228004569314,1422.0282040075924,19358.53967339592,90.87078779144564,1414.4103267154685,29051.06601529126,264.5759030559651,1408.8627561367502,37414.909682954894,2683.7782725421484,1403.017397889535,44102.06405360973,26894.656122068194,1401.5772594346756,45050.75971251889,58.589228004569314,1422.0282040075924,19358.53967339592,90.87078779144564,1414.4103267154685,29051.06601529126,264.5759030559651,1408.8627561367502,37414.909682954894,2683.7782725421484,1403.017397889535,44102.06405360973,26894.656122068194,1401.5772594346756,45050.75971251889,58.58922800456929,1422.028204007593,139.1349692686686,1423.2934388217564,19358.53967339336,2.1685500443181157e-14,1.0336251345330188e-10,90.87078779144566,1414.410326715468,170.44373269584568,1415.682369855384,29051.066015292887,-2.512835545198411e-13,-9.777164878850823e-10,264.57590305744355,1408.8627561369913,193.42934028413293,1410.1398035761983,37414.909682754886,-5.801290390544163e-13,-1.9889880025058998e-09,2683.594272749712,1403.095257852449,209.7988542392628,1404.3775498803843,44015.559240107425,-1.214619923020627e-11,-1.6224569562385153e-08,26887.562955038666,1401.885781242305,211.41568802336224,1403.1691785559387,44696.59314239165,-9.851655287380086e-11,-7.677934417152013e-08,58.589228004569314,0.005375146259461388,0.0002493573549601303,90.87078779144564,0.005576018059851924,0.0002532433088926613,264.5759030559651,0.005545895440198233,0.0002412362747653487,2683.5942702390703,0.005385451454703473,0.000244640310286943,26887.562950137417,0.005398985738678475,48177.27108129111,58.58922800456929,1422.028204007593,139.1349692686686,1423.2934388217564,19358.53967339336,2.1685500443181157e-14,1.0336251345330188e-10,90.87078779144566,1414.410326715468,170.44373269584568,1415.682369855384,29051.066015292887,-2.512835545198411e-13,-9.777164878850823e-10,264.57590305744355,1408.8627561369913,193.42934028413293,1410.1398035761983,37414.909682754886,-5.801290390544163e-13,-1.9889880025058998e-09,2683.594272749712,1403.095257852449,209.7988542392628,1404.3775498803843,44015.559240107425,-1.214619923020627e-11,-1.6224569562385153e-08,26887.562955038666,1401.885781242305,211.41568802336224,1403.1691785559387,44696.59314239165,-9.851655287380086e-11,-7.677934417152013e-08
2717108,2717109,1,70.31764698526591,60.01643373725111,22.875492185826715,91.9141756028498,60.21469865727671,298.8144173021619,137.87820212715383,64.82145844953895,6650.758642409468,1785.3728394996976,1056.7219600226467,378492.9880043552,25719.127853375285,1367.2400453913256,88967.94832045118,70.31764698526591,60.01643373725111,22.875492185826715,91.9141756028498,60.21469865727671,298.8144173021619,137.87820212715383,64.82145844953895,6650.758642409468,1785.3728394996976,1056.7219600226467,378492.9880043552,25719.127853375285,1367.2400453913256,88967.94832045118,1.00000000039076,59.99999999999999,6.743495761743047e-07,59.99999999999999,4.547473508864641e-13,0.0,0.0,1.0000022661895083,59.99999999999999,6.743495761743047e-07,59.99999999999999,4.547473508864641e-13,0.0,0.0,1.0140562728280216,60.0,0.0,60.0,0.0,0.0,0.0,2.145565750061321,60.0,0.0,60.0,0.0,0.0,0.0,2.890103394565923,59.99999999999999,9.5367431640625e-07,59.99999999999999,9.094947017729282e-13,0.0,0.0,1.00000000039076,6.250601093981069,1481.1142729517255,1.0000022661895083,7.419638276610457,1739553779.1032708,1.0140562728280216,1354010.1822668246,2012944048518696.0,2.145565750061321,344804396.7683481,3.9418382669136205e+17,2.890103394565923,480114147.29464394,4.8390716138717965e+17,1.00000000039076,59.99999999999999,6.743495761743047e-07,59.99999999999999,4.547473508864641e-13,0.0,0.0,1.0000022661895083,59.99999999999999,6.743495761743047e-07,59.99999999999999,4.547473508864641e-13,0.0,0.0,1.0140562728280216,60.0,0.0,60.0,0.0,0.0,0.0,2.145565750061321,60.0,0.0,60.0,0.0,0.0,0.0,2.890103394565923,59.99999999999999,9.5367431640625e-07,59.99999999999999,9.094947017729282e-13,0.0,0.0
2692738,2692739,1,68.01877297358435,1420.3661269761049,32053.96142908325,100.6874889940584,1412.92873698985,38470.85768161248,277.11148252302064,1402.9185254671474,48258.526244175155,2701.688726218594,1399.7881136148292,48001.34834436887,26911.36254446065,1401.2468886986699,45422.64894370665,68.01877297358435,1420.3661269761049,32053.96142908325,100.6874889940584,1412.92873698985,38470.85768161248,277.11148252302064,1402.9185254671474,48258.526244175155,2701.688726218594,1399.7881136148292,48001.34834436887,26911.36254446065,1401.2468886986699,45422.64894370665,68.01877297358436,1420.3661269761044,179.0362014484332,1421.6328410180663,32053.961429083953,-4.1576976610688246e-13,0.0,100.68748899406324,1412.9287369898511,196.13989314163328,1414.2021127871842,38470.85768161132,-1.6676606007905792e-12,-3.6397036333821926e-09,277.11148261756824,1402.9185254839126,219.67823339718367,1404.2009789007964,48258.52622850752,8.419585082485546e-13,2.3202936339721704e-09,2701.409856083461,1399.9050066015147,218.7973041276051,1401.19021817453,47872.26029350772,-2.574868197978884e-11,-5.0377582721155615e-08,26903.968217433117,1401.5682227370464,212.2592303144344,1402.8519105687108,45053.9808536761,-1.0307439665521724e-10,-8.153645510114418e-08,68.01877297358435,0.004579395900500134,0.00018574665709236048,100.6874889940584,0.005014107325244568,0.00021251418172423672,277.11148252301643,0.005298931792530407,0.0002431392623185092,2701.40985227832,0.005350235517661672,0.0002519093922789617,26903.96821232388,0.005397070144385304,50192.14578983753,68.01877297358436,1420.3661269761044,179.0362014484332,1421.6328410180663,32053.961429083953,-4.1576976610688246e-13,0.0,100.68748899406324,1412.9287369898511,196.13989314163328,1414.2021127871842,38470.85768161132,-1.6676606007905792e-12,-3.6397036333821926e-09,277.11148261756824,1402.9185254839126,219.67823339718367,1404.2009789007964,48258.52622850752,8.419585082485546e-13,2.3202936339721704e-09,2701.409856083461,1399.9050066015147,218.7973041276051,1401.19021817453,47872.26029350772,-2.574868197978884e-11,-5.0377582721155615e-08,26903.968217433117,1401.5682227370464,212.2592303144344,1402.8519105687108,45053.9808536761,-1.0307439665521724e-10,-8.153645510114418e-08
2697055,2697056,1,65.69915415475893,717.0314214195381,421300.1545350974,102.90238917533583,719.0918522322854,418834.03691447136,286.6258219071322,722.4564739324398,416497.72706667334,2854.2712821081755,728.5212817828435,417579.3749917024,27801.68625423453,725.183905527287,416380.9001698918,65.69915415475893,717.0314214195381,421300.1545350974,102.90238917533583,719.0918522322854,418834.03691447136,286.6258219071322,722.4564739324398,416497.72706667334,2854.2712821081755,728.5212817828435,417579.3749917024,27801.68625423453,725.183905527287,416380.9001698918,65.61954873497292,717.8284897188944,649.0661865896955,717.8284897188944,421286.91457408946,0.0,0.0,102.68332791493212,720.4979372784521,647.1466970527802,720.4979372784521,418798.8475063228,0.0,0.0,286.0230006927847,723.8526652006294,645.3283436566464,723.8526652006294,416448.6711266308,0.0,0.0,2852.9735942597054,728.8026714262779,646.2118766554812,728.8026714262779,417589.7895305989,0.0,0.0,27791.12907700056,725.3901422027805,645.3056963514529,725.3901422027805,416419.44174363354,0.0,0.0,65.61954873497292,0.004888131128980596,0.0002808826900772073,102.68332791493212,0.004992619031504168,0.0002859882790886499,286.0230006927847,0.0051532746369886435,0.0002935055990408215,2852.9735942597054,0.005067664268764299,0.0002879219023586745,27791.12907700056,0.0052239893080471755,47119.14725725199,37.81033002671419,179.3286431757332,216.51720174856865,179.3286431757332,46879.69865303037,0.0,0.0,59.375973034788245,188.55191113783744,230.55078910206083,188.55191113783744,53153.66635558293,0.0,0.0,166.12164967096888,201.2653300564373,251.9842450505164,201.2653300564373,63496.059753678695,0.0,0.0,1653.863925947778,208.61000549902923,269.96416111896207,208.61000549902923,72880.6482886649,0.0,0.0,16169.389282675773,207.30385982300487,264.9061721108451,207.30385982300487,70175.28002242069,0.0,0.0
