Mystic_id,Forgotten Metropolis,Enchanted Town of the West,Cryptic City by the Sea,Mysterious Capital of the North,Bizarre Borough of the South,Arcane Village in the Mountains,Whimsical Hamlet of the Forest,Surreal Settlement by the River,Illusory Isle in the Sky,Dreamlike Downtown of the Desert,Hypnotic Heights of the Highlands,Illogical Level of Livability
0,8,0.5,0.39,2.2,0.073,30,39,0.99572,3.33,0.77,12.1,6
1,9.3,0.3,0.73,2.3,0.092,30,67,0.99854,3.32,0.67,12.8,6
2,7.1,0.51,0.03,2.1,0.059,3,12,0.9966,3.52,0.73,11.3,7
3,8.1,0.87,0.22,2.6,0.084,11,65,0.9973,3.2,0.53,9.8,5
4,8.5,0.36,0.3,2.3,0.079,10,45,0.99444,3.2,1.36,9.5,6
5,9.9,0.51,0.44,2.2,0.111,30,134,0.9982,3.11,0.54,9.6,5
6,7.2,0.87,0,2.3,0.08,6,18,0.99552,3.34,0.6,11.3,6
7,7.5,0.43,0.32,1.8,0.066,18,40,0.9956,3.3,0.43,9.7,6
8,11.6,0.38,0.55,2.2,0.084,17,40,1.0008,3.17,0.73,9.8,6
9,7.8,0.78,0.09,2.2,0.049,13,29,0.99682,3.51,0.49,9.5,5
10,9,0.715,0.24,2.6,0.086,17,110,0.9976,3.31,0.53,9.4,5
11,10.4,0.24,0.42,2.4,0.059,6,15,0.9972,3.08,0.86,10.8,7
12,10.5,0.59,0.24,2.7,0.076,13,30,0.9981,3.04,0.49,10,6
13,6.7,0.52,0.28,1.8,0.088,23,91,0.9948,3.38,0.48,9.3,4
14,6.4,0.66,0.03,2.2,0.078,31,54,0.99736,3.56,0.57,11,6
15,7.4,0.59,0.24,2.8,0.076,31,134,0.9978,3.21,0.51,9.4,5
16,11.5,0.27,0.6,2.3,0.089,11,25,0.99628,3.1,0.44,12,7
17,7.6,0.56,0.28,2.4,0.077,16,86,0.9969,3.22,0.64,9.8,6
18,10.2,0.24,0.34,2.6,0.067,13,27,0.99683,3.22,0.58,10,6
19,5.6,0.39,0.16,3,0.095,12,49,0.9981,3.61,0.89,13.1,8
20,9.1,0.39,0.31,1.8,0.097,25,72,0.999,3.16,0.44,9.1,5
21,9.7,0.55,0.24,2.4,0.078,25,42,0.9976,3.12,0.59,9.6,5
22,8,0.69,0,3,0.093,5,28,0.99888,3.3,0.54,9.5,5
23,5.9,0.22,0.01,1.8,0.041,16,29,0.99258,3.38,0.71,11,6
24,7.9,0.7,0,1.9,0.104,15,34,0.9966,3.31,0.67,9.7,5
25,8.2,0.31,0.32,2,0.066,10,22,0.9947,3.27,0.77,11.2,7
26,7.3,0.7,0,2.2,0.058,16,42,0.99472,3.38,0.6,11.8,6
27,10.3,0.28,0.57,2.4,0.054,7,24,0.9986,3.17,0.47,11,4
28,8.9,0.56,0.18,1.9,0.074,12,46,0.9969,3.17,0.92,9.5,6
29,10.8,0.5,0.55,2.2,0.077,15,33,0.9988,3.18,0.6,9.4,6
